序号,SN 码,时间,点位,圈数,扭力,结果
1,1753673384,11:29:44,1,233,6,OK
2,1753673429,11:30:29,2,233,6,OK
3,1753673503,11:31:43,3,233,6,OK
4,1753673560,11:32:40,4,233,6,OK
5,1753673567,11:32:47,5,233,6,OK
6,1753673610,11:33:30,6,233,6,OK
1,1753685395,14:49:55,1,233,6,OK
1,1753686424,15:07:04,1,233,6,NG
2,1753686438,15:07:18,2,233,6,Incomplete
3,1753686456,15:07:36,3,233,6,OK
4,1753686510,15:08:30,4,233,6,OK
1,1753687072,15:17:52,1,233,6,NG
1,1753687328,15:22:08,1,233,6,OK
1,1753687557,15:25:57,1,233,6,OK
1,1753687657,15:27:37,1,233,6,OK
1,1753687765,15:29:25,1,233,6,OK
1,1753687896,15:31:36,1,233,6,OK
1,1753687990,15:33:10,1,233,6,NG
1,1753688295,15:38:15,1,233,6,OK
2,1753688302,15:38:22,2,233,6,OK
1,1753688419,15:40:19,1,233,6,OK
1,1753688536,15:42:16,1,233,6,OK
1,1753688739,15:45:39,1,233,6,OK
2,1753688765,15:46:05,2,233,6,NG
3,1753688799,15:46:39,3,233,6,NG
4,1753688843,15:47:23,4,233,6,OK
1,1753690629,16:17:09,1,233,6,OK
1,1753691525,16:32:05,1,233,6,OK
2,1753691551,16:32:31,2,233,6,OK
3,1753691567,16:32:47,3,233,6,OK
1,1753692199,16:43:19,1,233,6,OK
1,1753692896,16:54:56,1,233,6,OK
1,1753700337,18:58:57,1,233,6,OK
2,1753700367,18:59:27,2,233,6,OK
3,1753700490,19:01:30,3,233,6,OK
